"Key","Title","Description","Municipality","DetailRegionCode"
"NL00      ","Nederland",,"",""
"GM1680    ","Aa en Hunze","Gemeente 'Aa en Hunze' (GM1680)","GM1680","GM1680"
"WK168000  ","Wijk 00 Annen","Wijk 'Wijk 00 Annen' (WK168000) is een wijk in de gemeente 'Aa en Hunze'.","GM1680","WK168000"
"BU16800000","Annen","Buurt 'Annen' (BU16800000) is een buurt in wijk 'Wijk 00 Annen' in de gemeente 'Aa en Hunze'.","GM1680","BU16800000"
"BU16800009","Verspreide huizen Annen","Buurt 'Verspreide huizen Annen' (BU16800009) is een buurt in wijk 'Wijk 00 Annen' in de gemeente 'Aa en Hunze'.","GM1680","BU16800009"
"WK168001  ","Wijk 01 Eext","Wijk 'Wijk 01 Eext' (WK168001) is een wijk in de gemeente 'Aa en Hunze'.","GM1680","WK168001"
"BU16800100","Eext","Buurt 'Eext' (BU16800100) is een buurt in wijk 'Wijk 01 Eext' in de gemeente 'Aa en Hunze'.","GM1680","BU16800100"
"BU16800109","Verspreide huizen Eext","Buurt 'Verspreide huizen Eext' (BU16800109) is een buurt in wijk 'Wijk 01 Eext' in de gemeente 'Aa en Hunze'.","GM1680","BU16800109"
"WK168002  ","Wijk 02 Anloo","Wijk 'Wijk 02 Anloo' (WK168002) is een wijk in de gemeente 'Aa en Hunze'.","GM1680","WK168002"
"BU16800200","Anloo","Buurt 'Anloo' (BU16800200) is een buurt in wijk 'Wijk 02 Anloo' in de gemeente 'Aa en Hunze'.","GM1680","BU16800200"
"BU16800209","Verspreide huizen Anloo","Buurt 'Verspreide huizen Anloo' (BU16800209) is een buurt in wijk 'Wijk 02 Anloo' in de gemeente 'Aa en Hunze'.","GM1680","BU16800209"
"WK168003  ","Wijk 03 Gasteren","Wijk 'Wijk 03 Gasteren' (WK168003) is een wijk in de gemeente 'Aa en Hunze'.","GM1680","WK168003"
"BU16800300","Gasteren","Buurt 'Gasteren' (BU16800300) is een buurt in wijk 'Wijk 03 Gasteren' in de gemeente 'Aa en Hunze'.","GM1680","BU16800300"
"BU16800309","Verspreide huizen Gasteren","Buurt 'Verspreide huizen Gasteren' (BU16800309) is een buurt in wijk 'Wijk 03 Gasteren' in de gemeente 'Aa en Hunze'.","GM1680","BU16800309"
"WK168004  ","Wijk 04 Anderen","Wijk 'Wijk 04 Anderen' (WK168004) is een wijk in de gemeente 'Aa en Hunze'.","GM1680","WK168004"
